"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends,"Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)","Mobile app purchase ROAS (return on ad spend)",Purchases,"Mobile app purchases","Website purchases","Offline purchases","Meta purchases","Purchases conversion value","Mobile app purchases conversion value","Website purchases conversion value","Offline purchases conversion value","Meta purchase conversion value","Date last edited","CPC (cost per link click) (USD)","Campaign ID","Hook %",Frequency,"CPM (cost per 1,000 impressions) (USD)","Post reactions","Page likes","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Unique outbound clicks","Unique outbound CTR (click-through rate)","Cost per unique outbound click (USD)","Date created"
2023-06-01,2023-06-04,"PB | Video | BSK | C1 | V4 | Story | Funnel | 20230527",not_delivering,"PB | All | 25+ | Broad | 20230601",0,ABSOLUTE_OCPM,80,Daily,0,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,3992,4065,127.18,"Below average - Bottom 20% of ads","Above average","Above average",127.18,"У току",0.48396,0.48396,,1,,1,,,61.55,,61.55,,,2023-06-01,2.312364,23850738143310774,0.499631,1.018287,31.286593,12,,373,215,163,117,93,53,1.327655,2.399623,2023-06-01
2023-06-01,2023-06-04,"PB | Video | BSK | C1 | V3-2 | Story | Funnel | 20230601",not_delivering,"PB | All | 25+ | Broad | 20230601",0,ABSOLUTE_OCPM,80,Daily,0,"7-day click or 1-day view",,,3288,3840,,"Below average - Bottom 20% of ads",Average,"Above average",127.36,"У току",,,,,,,,,,,,,,2023-06-01,3.442162,23850738143310774,0.48255208,1.167883,33.166667,6,,867,616,494,431,418,37,1.125304,3.442162,2023-06-01
2023-06-01,2023-06-04,"PB | Video | BSK | C1 | V3-3 | Story | Funnel | 20230601",active,"PB | All | 25+ | Broad | 20230601",0,ABSOLUTE_OCPM,80,Daily,0,"7-day click or 1-day view",8,actions:offsite_conversion.fb_pixel_purchase,5198,6247,35.92125,"Below average - Bottom 20% of ads",Average,"Above average",287.37,"У току",2.163169,2.163169,,8,,8,,,621.63,,621.63,,,2023-06-01,3.936575,23850738143310774,0.57387546,1.201808,46.001281,17,,1790,1327,1097,1001,982,69,1.327434,4.164783,2023-06-01
2023-06-01,2023-06-04,"PB | Video | BSK | C1 | V1-3 | Story | Funnel | 20230601",active,"PB | All | 25+ | Broad | 20230601",0,ABSOLUTE_OCPM,80,Daily,0,"7-day click or 1-day view",10,actions:offsite_conversion.fb_pixel_purchase,8815,11161,28.727,"Below average - Bottom 20% of ads","Above average","Above average",287.27,"У току",2.99544,2.99544,,10,,10,,,860.5,,860.5,,,2023-06-01,1.773272,23850738143310774,0.3476391,1.266137,25.738733,28,,1790,1186,1018,731,651,155,1.758366,1.853355,2023-06-01
2023-06-01,2023-06-04,"AF | Video | B40 | C1 | V1 | 7 Reasons | Funnel | 20230602",active,"AF | All | 37+ | Fungus | 20230602",0,ABSOLUTE_OCPM,77,Daily,0,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,6568,7728,34.336,-,-,-,171.68,"У току",2.647018,2.647018,,5,,5,,,454.44,,454.44,,,2023-06-03,1.683137,23852669311460774,0.29399586,1.176614,22.215321,18,,876,485,311,195,183,95,1.446407,1.807158,2023-06-02
2023-06-01,2023-06-04,"AF | Video | B40 | C1 | V1 | 7 Reasons | Funnel | 20230602",not_delivering,"AF | All | 37+ | Fungus | 20230602",0,ABSOLUTE_OCPM,77,Daily,0,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,4403,4719,63.905,-,-,-,127.81,"У току",0.544793,0.544793,,2,,2,,,69.63,,69.63,,,2023-06-02,1.2781,23852669311460774,0.48145794,1.071769,27.084128,13,,796,382,225,146,139,96,2.180332,1.331354,2023-06-02
2023-06-01,2023-06-04,"AF | Video | B40 | C1 | V3 | 7 Reasons | Funnel | 20230602",active,"AF | All | 37+ | Fungus | 20230602",0,ABSOLUTE_OCPM,77,Daily,0,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,4454,5102,36.964,-,-,-,184.82,"У току",1.56509,1.56509,,5,,5,,,289.26,,289.26,,,2023-06-02,2.030989,23852669311460774,0.32849863,1.145487,36.22501,22,,624,336,230,142,133,84,1.885945,2.200238,2023-06-02
2023-06-01,2023-06-04,"AF | Video | B40 | C2 | V1 | 7 Reasons | Funnel | 20230602",active,"AF | All | 37+ | Fungus | 20230602",0,ABSOLUTE_OCPM,77,Daily,0,"7-day click or 1-day view",6,actions:offsite_conversion.fb_pixel_purchase,5690,6475,30.651666666667,-,-,-,183.91,"У току",2.030232,2.030232,,6,,6,,,373.38,,373.38,,,2023-06-02,1.149438,23852669311460774,0.41667954,1.137961,28.403089,19,,1135,456,336,178,156,154,2.706503,1.194221,2023-06-02
2023-06-01,2023-06-04,"AF | Video | B40 | C2 | V3 | 7 Reasons | Funnel | 20230602",not_delivering,"AF | All | 37+ | Fungus | 20230602",0,ABSOLUTE_OCPM,77,Daily,0,"7-day click or 1-day view",,,3427,3700,,-,-,-,130.23,"У току",,,,,,,,,,,,,,2023-06-02,2.1705,23852669311460774,0.33783784,1.079662,35.197297,8,,562,236,181,98,90,60,1.750802,2.1705,2023-06-02
2023-06-01,2023-06-04,"AF | Video | B40 | C2 | V2 | 7 Reasons | Funnel | 20230602",active,"AF | All | 37+ | Fungus | 20230602",0,ABSOLUTE_OCPM,77,Daily,0,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,4922,5512,91.945,-,-,-,183.89,"У току",0.926369,0.926369,,2,,2,,,170.35,,170.35,,,2023-06-02,1.857475,23852669311460774,0.30859942,1.11987,33.361756,23,,750,282,215,131,117,98,1.991061,1.876429,2023-06-02
2023-06-01,2023-06-04,"PB | Video | B40 | C1 | V1 | Story | Funnel | 20230602",not_delivering,"PB | All | 24+ | Broad | 20230602",0,ABSOLUTE_OCPM,83,Daily,0,"7-day click or 1-day view",,,3362,3553,,-,-,-,134.46,"У току",,,,,,,,,,,,,,2023-06-02,2.006866,23850738143310774,0.41204616,1.056811,37.844075,10,,516,310,216,156,127,62,1.84414,2.16871,2023-06-02
2023-06-01,2023-06-04,"PB | Video | B40 | CI1 | V1 | Story | Funnel | 20230602",active,"PB | All | 24+ | Broad | 20230602",0,ABSOLUTE_OCPM,83,Daily,0,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,5244,5959,66.166666666667,-,-,-,198.5,"У току",0.947355,0.947355,,3,,3,,,188.05,,188.05,,,2023-06-02,1.696581,23850738143310774,0.38479611,1.136346,33.310958,10,,1196,889,716,359,328,111,2.116705,1.788288,2023-06-02
2023-06-01,2023-06-04,"PB | Video | B40 | CI1 | V3 | Story | Funnel | 20230602",not_delivering,"PB | All | 24+ | Broad | 20230602",0,ABSOLUTE_OCPM,83,Daily,0,"7-day click or 1-day view",,,2572,2652,,-,-,-,137.61,"У току",,,,,,,,,,,,,,2023-06-02,2.7522,23850738143310774,0.46078431,1.031104,51.88914,14,,549,338,216,137,118,50,1.944012,2.7522,2023-06-02
2023-06-01,2023-06-04,"PB | Video | B40 | CI1 | V2 | Story | Funnel | 20230602",not_delivering,"PB | All | 24+ | Broad | 20230602",0,ABSOLUTE_OCPM,83,Daily,0,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,5022,5276,197.08,-,-,-,197.08,"У току",0.318754,0.318754,,1,,1,,,62.82,,62.82,,,2023-06-02,2.052917,23850738143310774,0.48616376,1.050577,37.354056,26,,1069,546,335,208,191,93,1.851852,2.11914,2023-06-02
2023-06-01,2023-06-04,"PB | Video | B40 | C1 | V2 | Story | Funnel | 20230602",active,"PB | All | 24+ | Broad | 20230602",0,ABSOLUTE_OCPM,83,Daily,0,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,4829,5295,49.575,-,-,-,198.3,"У току",1.534191,1.534191,,4,,4,,,304.23,,304.23,,,2023-06-02,2.754167,23850738143310774,0.35108593,1.0965,37.450425,20,,597,379,268,203,175,69,1.428867,2.873913,2023-06-02
2023-06-01,2023-06-04,"PB | Video | B40 | C1 | V3 | Story | Funnel | 20230602",active,"PB | All | 24+ | Broad | 20230602",0,ABSOLUTE_OCPM,83,Daily,0,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,4499,5106,99.17,-,-,-,198.34,"У току",0.812141,0.812141,,2,,2,,,161.08,,161.08,,,2023-06-02,3.672963,23850738143310774,0.38033686,1.134919,38.844497,19,,863,635,460,356,340,51,1.133585,3.88902,2023-06-02
2023-06-01,2023-06-04,"HD | Video | B40 | C1 | V1 | Story | Funnel | 20230602",not_delivering,"HD | All | 36+ | Nail | 20230602",0,ABSOLUTE_OCPM,60,Daily,0,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,2238,2399,49.895,-,-,-,99.79,"У току",1.032468,1.032468,,2,,2,,,103.03,,103.03,,,2023-06-02,2.123191,23853247833560774,0.53563985,1.071939,41.596499,12,,779,473,365,255,215,45,2.010724,2.217556,2023-06-02
2023-06-01,2023-06-04,"HD | Video | B40 | C1 | V1 | 7 Reasons | Funnel | 20230602",not_delivering,"HD | All | 36+ | Nail | 20230602",0,ABSOLUTE_OCPM,60,Daily,0,"7-day click or 1-day view",,,2467,2621,,-,-,-,86.18,"У току",,,,,,,,,,,,,,2023-06-02,1.958636,23853247833560774,0.47272034,1.062424,32.88058,8,,745,441,338,217,180,41,1.661938,2.101951,2023-06-02
2023-06-01,2023-06-04,"HD | Video | B40 | C1 | V3 | Story | Funnel | 20230602",not_delivering,"HD | All | 36+ | Nail | 20230602",0,ABSOLUTE_OCPM,60,Daily,0,"7-day click or 1-day view",,,2226,2368,,-,-,-,85.07,"У току",,,,,,,,,,,,,,2023-06-02,2.238684,23853247833560774,0.55152027,1.063792,35.924831,13,,769,476,363,259,220,38,1.707098,2.238684,2023-06-02
2023-06-01,2023-06-04,"HD | Video | B40 | C1 | V2 | Story | Funnel | 20230602",not_delivering,"HD | All | 36+ | Nail | 20230602",0,ABSOLUTE_OCPM,60,Daily,0,"7-day click or 1-day view",,,1935,2091,,-,-,-,83.77,"У току",,,,,,,,,,,,,,2023-06-02,2.463824,23853247833560774,0.45337159,1.08062,40.062171,12,,475,322,234,184,148,32,1.653747,2.617813,2023-06-02
2023-06-01,2023-06-04,"PB | Video | BSK | C1 | V1-3 | Story | Funnel | 20230601 - Copy",active,"PB | All | 18+ | Broad | 20230408",0,ABSOLUTE_OCPM,150,Daily,2023-05-07T12:09:53-0700,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,142,159,4.2,-,-,-,4.2,"У току",14.759524,14.759524,,1,,1,,,61.99,,61.99,,,2023-06-03,0.84,23853379883190774,0.57232704,1.119718,26.415094,1,,48,34,32,23,23,5,3.521127,0.84,2023-06-03
2023-06-01,2023-06-04,"PB | Video | BSK | C1 | V3-3 | Story | Funnel | 20230601 - Copy",active,"PB | All | 18+ | Broad | 20230408",0,ABSOLUTE_OCPM,150,Daily,2023-05-07T12:09:53-0700,"7-day click or 1-day view",,,3,3,,-,-,-,0,"У току",,,,,,,,,,,,,,2023-06-03,,23853379883190774,0.66666667,1,0,,,1,1,,,,,,,2023-06-03
2023-06-01,2023-06-04,"PB | Video | B0 | C0 | V0 | Story | Funnel | 20230320 - Copy 2",active,"PB | All | 18+ | Broad | 20230408",0,ABSOLUTE_OCPM,150,Daily,2023-05-07T12:09:53-0700,"7-day click or 1-day view",,,2235,2343,,"Below average - Bottom 20% of ads","Above average","Above average",40.62,"У току",,,,,,,,,,,,,,2023-06-03,0.82898,23853379883190774,0.39052497,1.048322,17.336748,3,,692,276,184,150,129,46,2.058166,0.883043,2023-06-03
2023-06-01,2023-06-04,"PB | Video | B19 | C2 | V1 | 7 Reasons | Funnel | 20230321 - Copy 4",active,"PB | All | 18+ | Broad | 20230408",0,ABSOLUTE_OCPM,150,Daily,2023-05-07T12:09:53-0700,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,459,465,11.74,-,-,-,11.74,"У току",7.143101,7.143101,,1,,1,,,83.86,,83.86,,,2023-06-03,1.067273,23853379883190774,0.3311828,1.013072,25.247312,,,38,16,5,4,4,9,1.960784,1.304444,2023-06-03
2023-06-01,2023-06-04,"AF | Video | B36 | C1 | V2 | 7 Reasons | Funnel | 20230505 - Copy",active,"AF | All | 18+ | Broad | 20230427",0,ABSOLUTE_OCPM,100,Daily,2023-05-03T08:29:21-0700,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,545,640,18.27,"Below average - Bottom 20% of ads","Above average","Above average",18.27,"У току",1.914614,1.914614,,1,,1,,,34.98,,34.98,,,2023-06-03,1.074706,23853620857500774,0.6359375,1.174312,28.546875,1,,243,182,137,117,116,16,2.93578,1.141875,2023-06-03
2023-06-01,2023-06-04,"AF | Video | B32 | CI2 | V3 | 7 Reasons | Funnel | 20230503 - Copy",active,"AF | All | 18+ | Broad | 20230427",0,ABSOLUTE_OCPM,100,Daily,2023-05-03T08:29:21-0700,"7-day click or 1-day view",,,71,77,,-,-,-,1.46,"У току",,,,,,,,,,,,,,2023-06-03,0.73,23853620857500774,0.35064935,1.084507,18.961039,,,16,6,3,2,2,2,2.816901,0.73,2023-06-03
2023-06-01,2023-06-04,"AF | Video | B37 | CI1 | V2 | 7 Reasons | Funnel | 20230514 - Copy",active,"AF | All | 18+ | Broad | 20230427",0,ABSOLUTE_OCPM,100,Daily,2023-05-03T08:29:21-0700,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,2534,2725,49.015,"Below average - Bottom 35% of ads","Above average","Above average",98.03,"У току",0.6853,0.6853,,2,,2,,,67.18,,67.18,,,2023-06-03,0.990202,23853620857500774,0.41981651,1.075375,35.974312,14,,617,343,228,174,162,94,3.70955,1.042872,2023-06-03
2023-06-01,2023-06-04,"AF | Video | B29 | C1 | V2 | 7 Reasons | Funnel | 20230505 - Copy",active,"AF | All | 18+ | Broad | 20230427",0,ABSOLUTE_OCPM,100,Daily,2023-05-03T08:29:21-0700,"7-day click or 1-day view",,,20,21,,-,-,-,0.56,"У току",,,,,,,,,,,,,,2023-06-03,0.56,23853620857500774,0.38095238,1.05,26.666667,1,,3,1,,,,1,5,0.56,2023-06-03
